ASSET	HOUSE	            ASSETVAL	                dist
   35	    4	  -1.426133333333333	   0.000000000000000
   35	    5	  -1.963200000000001	   0.000000000000000
   35	    6	  -8.408000000000001	   0.003551741643861
   36	    0	   2.400000000000000	   0.000057607936659
   36	    1	   0.259840000000000	   0.001556342126761
   36	    2	  -0.275200000000000	   0.004871051235500
   36	    3	  -0.810240000000000	   0.001100215674979
   36	    4	  -1.345280000000000	   0.000000000000000
   36	    5	  -1.880320000000000	   0.000000000000000
   36	    6	  -8.300800000000001	   0.003421040272108
   37	    0	   2.466666666666667	   0.000001771814642
   37	    1	   0.334613333333333	   0.001287721643827
   37	    2	  -0.198400000000001	   0.004884749322884
   37	    3	  -0.731413333333334	   0.001151916132504
   37	    4	  -1.264426666666667	   0.000000000000000
   37	    5	  -1.797440000000001	   0.000000000000000
   37	    6	  -8.193600000000002	   0.003344442346024
   38	    0	   2.533333333333333	   0.000000000000000
   38	    1	   0.409386666666667	   0.001204501447711
   38	    2	  -0.121600000000000	   0.004927246814550
   38	    3	  -0.652586666666667	   0.001430820275365
   38	    4	  -1.183573333333333	   0.000000000000000
   38	    5	  -1.714560000000000	   0.000000000000000
   38	    6	  -8.086400000000001	   0.003343793505511
   39	    0	   2.600000000000000	   0.000000000000000
   39	    1	   0.484160000000000	   0.001100018523724
   39	    2	  -0.044800000000000	   0.005016027437230
   39	    3	  -0.573760000000000	   0.001522621989980
   39	    4	  -1.102720000000000	   0.000000000000000
   39	    5	  -1.631680000000000	   0.000000000000000
   39	    6	  -7.979200000000001	   0.003254254560523
   40	    0	   2.666666666666667	   0.000000000000000
   40	    1	   0.558933333333333	   0.000969911372710
   40	    2	   0.031999999999999	   0.004895033445594
   40	    3	  -0.494933333333334	   0.001524516328271
   40	    4	  -1.021866666666667	   0.000000000000000
   40	    5	  -1.548800000000001	   0.000000000000000
   40	    6	  -7.872000000000002	   0.003198500024768
   41	    0	   2.733333333333333	   0.000000000000000
   41	    1	   0.633706666666667	   0.000890673695680
   41	    2	   0.108800000000000	   0.004678130398333
   41	    3	  -0.416106666666667	   0.001565824196472
   41	    4	  -0.941013333333333	   0.000000000000000
   41	    5	  -1.465920000000000	   0.000000000000000
   41	    6	  -7.764800000000001	   0.003109599601678
   42	    0	   2.800000000000000	   0.000000000000000
   42	    1	   0.708480000000000	   0.000809027824632
   42	    2	   0.185600000000000	   0.004470251106956
   42	    3	  -0.337280000000000	   0.001571834041636
   42	    4	  -0.860160000000000	   0.000000000000000
   42	    5	  -1.383040000000000	   0.000000000000000
   42	    6	  -7.657600000000001	   0.003032703549017
   43	    0	   2.866666666666667	   0.000000000000000
   43	    1	   0.783253333333333	   0.000700740543633
   43	    2	   0.262400000000000	   0.004294930518988
   43	    3	  -0.258453333333334	   0.001603886635531
   43	    4	  -0.779306666666667	   0.000000000000000
   43	    5	  -1.300160000000000	   0.000000000000000
   43	    6	  -7.550400000000002	   0.002970033502174
   44	    0	   2.933333333333333	   0.000000000000000
   44	    1	   0.858026666666667	   0.000648504653275
   44	    2	   0.339199999999999	   0.004116659787982
   44	    3	  -0.179626666666667	   0.001615728867891
   44	    4	  -0.698453333333333	   0.000000000000000
   44	    5	  -1.217280000000001	   0.000000000000000
   44	    6	  -7.443200000000001	   0.003122979563350
   45	    0	   3.000000000000000	   0.000000000000000
   45	    1	   0.932800000000000	   0.000611292061058
   45	    2	   0.416000000000000	   0.003939718391343
   45	    3	  -0.100800000000000	   0.001641971083631
   45	    4	  -0.617600000000000	   0.000000000000000
   45	    5	  -1.134400000000000	   0.000000000000000
   45	    6	  -7.336000000000000	   0.002905723137234
   46	    0	   3.066666666666666	   0.000000000000000
   46	    1	   1.007573333333334	   0.000540486802053
   46	    2	   0.492800000000000	   0.003765742071733
   46	    3	  -0.021973333333334	   0.001672217547519
   46	    4	  -0.536746666666666	   0.000000000000000
   46	    5	  -1.051520000000000	   0.000000000000000
   46	    6	  -7.228800000000001	   0.002939265423122
   47	    0	   3.133333333333333	   0.000000000000000
   47	    1	   1.082346666666667	   0.000274830664101
   47	    2	   0.569600000000000	   0.003609149220013
   47	    3	   0.056853333333333	   0.001647297480267
   47	    4	  -0.455893333333333	   0.000000000000000
   47	    5	  -0.968640000000000	   0.000000000000000
   47	    6	  -7.121600000000001	   0.002949910924035
   48	    0	   3.200000000000000	   0.000000000000000
   48	    1	   1.157120000000000	   0.000117585479015
   48	    2	   0.646399999999999	   0.003460016354274
   48	    3	   0.135679999999999	   0.001571113612721
   48	    4	  -0.375040000000000	   0.000000000000000
   48	    5	  -0.885760000000001	   0.000000000000000
   48	    6	  -7.014400000000001	   0.002652405651176
   49	    0	   3.266666666666667	   0.000000000000000
   49	    1	   1.231893333333333	   0.000058975443348
   49	    2	   0.723199999999999	   0.003304709509438
   49	    3	   0.214506666666666	   0.001526632137843
   49	    4	  -0.294186666666667	   0.000000000000000
   49	    5	  -0.802880000000001	   0.000000000000000
   49	    6	  -6.907200000000001	   0.002622449773553
   50	    0	   3.333333333333333	   0.000000000000000
   50	    1	   1.306666666666667	   0.000028548377611
   50	    2	   0.800000000000000	   0.003123670873080
   50	    3	   0.293333333333333	   0.001490348533677
   50	    4	  -0.213333333333333	   0.000000000000000
   50	    5	  -0.720000000000000	   0.000000000000000
   50	    6	  -6.800000000000001	   0.002601830971271
   51	    0	   3.400000000000000	   0.000000000000000
   51	    1	   1.381440000000000	   0.000013225482619
   51	    2	   0.876800000000000	   0.002968502118122
   51	    3	   0.372160000000000	   0.001438464757000
   51	    4	  -0.132480000000000	   0.000000000000000
   51	    5	  -0.637120000000000	   0.000000000000000
